2018.07.08,536 ,6.00,-1.11%,"8,417,617"
2018.07.09,530 ,6.00,-1.12%,"7,519,096"
2018.07.10,503 ,27.00,-5.09%,"14,225,582"
2018.07.11,508 ,5.00,+0.99%,"10,521,595"
2018.07.12,499 ,9.00,-1.77%,"10,641,042"
2018.07.13,498 ,1.00,-0.20%,"11,135,911"
2018.07.14,499 ,1.00,+0.20%,"6,403,426"
2018.07.15,504 ,5.00,+1.00%,"8,273,331"
2018.07.16,533 ,29.00,+5.75%,"20,532,341"
2018.07.17,558 ,25.00,+4.69%,"21,052,491"
2018.07.18,550 ,8.00,-1.43%,"32,233,217"
2018.07.19,539 ,11.00,-2.00%,"16,609,406"
2018.07.20,506 ,33.00,-6.12%,"23,612,251"
2018.07.21,514 ,8.00,+1.58%,"11,665,564"
2018.07.22,506 ,8.00,-1.56%,"9,897,103"
2018.07.23,505 ,1.00,-0.20%,"15,006,853"
2018.07.24,516 ,11.00,+2.18%,"29,251,713"
2018.07.25,514 ,2.00,-0.39%,"30,534,338"
2018.07.26,507 ,7.00,-1.36%,"14,897,034"
2018.07.27,507 ,0,0.00%,"16,646,010"
2018.07.28,512 ,5.00,+0.99%,"6,011,842"
2018.07.29,510 ,2.00,-0.39%,"4,920,877"
2018.07.30,506 ,4.00,-0.78%,"10,658,174"
2018.07.31,495 ,11.00,-2.17%,"14,024,916"
2018.08.01,512 ,17.00,+3.43%,"41,772,309"
2018.08.02,498 ,14.00,-2.73%,"15,517,242"
2018.08.03,505 ,7.00,+1.41%,"23,506,579"
2018.08.04,494 ,11.00,-2.18%,"11,645,088"
2018.08.05,498 ,4.00,+0.81%,"11,998,675"
2018.08.06,475 ,23.00,-4.62%,"17,805,922"
2018.08.07,437 ,38.00,-8.00%,"30,542,913"
2018.08.08,387 ,50.00,-11.44%,"45,812,645"
2018.08.09,398 ,11.00,+2.84%,"49,161,836"
2018.08.10,375 ,23.00,-5.78%,"25,614,474"
2018.08.11,351 ,24.00,-6.40%,"39,686,507"
2018.08.12,347 ,4.00,-1.14%,"16,343,628"
2018.08.13,325 ,22.00,-6.34%,"26,332,800"
2018.08.14,319 ,6.00,-1.85%,"44,478,223"
2018.08.15,328 ,9.00,+2.82%,"39,918,695"
2018.08.16,339 ,11.00,+3.35%,"25,331,772"
2018.08.17,419 ,80.00,+23.60%,"63,429,540"
2018.08.18,380 ,39.00,-9.31%,"74,479,663"
2018.08.19,393 ,13.00,+3.42%,"53,655,474"
2018.08.20,366 ,27.00,-6.87%,"46,731,915"
2018.08.21,376 ,10.00,+2.73%,"29,794,627"
2018.08.22,365 ,11.00,-2.93%,"44,918,204"
2018.08.23,372 ,7.00,+1.92%,"30,579,024"
2018.08.24,370 ,2.00,-0.54%,"31,420,618"
2018.08.25,369 ,1.00,-0.27%,"18,466,872"
2018.08.26,364 ,5.00,-1.36%,"16,999,158"
2018.08.27,378 ,14.00,+3.85%,"25,132,657"
2018.08.28,389 ,11.00,+2.91%,"35,342,181"
2018.08.29,383 ,6.00,-1.54%,"37,560,740"
2018.08.30,377 ,6.00,-1.57%,"29,025,955"
2018.08.31,375 ,2.00,-0.53%,"19,292,441"
2018.09.01,386 ,11.00,+2.93%,"26,496,266"
2018.09.02,380 ,6.00,-1.55%,"22,852,622"
2018.09.03,374 ,6.00,-1.58%,"15,011,754"
2018.09.04,372 ,2.00,-0.53%,"27,292,545"
2018.09.05,321 ,51.00,-13.71%,"54,322,577"
2018.09.06,348 ,27.00,+8.41%,"54,801,931"
2018.09.07,332 ,16.00,-4.60%,"28,432,367"
2018.09.08,322 ,10.00,-3.01%,"18,380,790"
2018.09.09,319 ,3.00,-0.93%,"19,928,640"
