942 ,53.00,-5.33%,"213,233,234"
940 ,2.00,-0.21%,"130,405,205"
954 ,14.00,+1.49%,"79,631,187"
"1,000 ",46.00,+4.82%,"254,196,099"
876 ,124,-12.40%,"220,134,855"
925 ,49.00,+5.59%,"119,592,712"
887 ,38.00,-4.11%,"71,384,630"
927 ,40.00,+4.51%,"113,320,217"
938 ,11.00,+1.19%,"169,917,337"
910 ,28.00,-2.99%,"82,401,024"
910 ,0,0.00%,"83,967,899"
931 ,21.00,+2.31%,"58,529,831"
966 ,35.00,+3.76%,"85,623,104"
974 ,8.00,+0.83%,"128,795,524"
989 ,15.00,+1.54%,"80,971,137"
957 ,32.00,-3.24%,"65,568,980"
921 ,36.00,-3.76%,"47,781,634"
898 ,23.00,-2.50%,"35,188,655"
888 ,10.00,-1.11%,"49,201,671"
828 ,60.00,-6.76%,"32,752,312"
745 ,83.00,-10.02%,"94,325,145"
766 ,21.00,+2.82%,"49,292,951"
823 ,57.00,+7.44%,"45,822,669"
821 ,2.00,-0.24%,"46,035,162"
775 ,46.00,-5.60%,"25,255,603"
787 ,12.00,+1.55%,"28,893,934"
744 ,43.00,-5.46%,"21,352,566"
752 ,8.00,+1.08%,"15,572,805"
746 ,6.00,-0.80%,"9,877,136"
769 ,23.00,+3.08%,"13,973,581"
753 ,16.00,-2.08%,"14,865,487"
715 ,38.00,-5.05%,"11,417,594"
667 ,48.00,-6.71%,"25,378,492"
697 ,30.00,+4.50%,"26,332,016"
674 ,23.00,-3.30%,"15,440,456"
676 ,2.00,+0.30%,"8,501,293"
671 ,5.00,-0.74%,"7,242,092"
608 ,63.00,-9.39%,"16,900,782"
668 ,60.00,+9.87%,"27,130,292"
668 ,0,0.00%,"22,595,619"
677 ,9.00,+1.35%,"19,115,588"
683 ,6.00,+0.89%,"14,176,569"
702 ,19.00,+2.78%,"14,327,310"
752 ,50.00,+7.12%,"18,319,330"
723 ,29.00,-3.86%,"37,154,490"
738 ,15.00,+2.07%,"26,281,953"
736 ,2.00,-0.27%,"13,508,177"
737 ,1.00,+0.14%,"11,698,052"
735 ,2.00,-0.27%,"8,142,332"
722 ,13.00,-1.77%,"6,170,867"
651 ,71.00,-9.83%,"28,859,515"
665 ,14.00,+2.15%,"20,947,760"
625 ,40.00,-6.02%,"20,655,810"
592 ,33.00,-5.28%,"20,316,172"
618 ,26.00,+4.39%,"29,923,915"
597 ,21.00,-3.40%,"15,423,807"
595 ,2.00,-0.34%,"12,742,402"
589 ,6.00,-1.01%,"6,893,352"
598 ,9.00,+1.53%,"13,130,391"
614 ,16.00,+2.68%,"13,468,423"
